Lateness1,Lateness2,Lateness3,Lateness4
1,0.037,0.878,0.653
0.939,1,1,0.653
1,1,0.885,0.653
0.939,1,0.653,0.653
0.839,0.093,1,0.653
1,0.939,0.939,0.653
0.939,0.106,0.093,0.653
0.106,0.885,0.939,0.653
0.939,0.653,0.878,0.653
0.653,0.939,1,0.673
0.939,0.106,0.653,0.839
0.939,0.106,1,0.845
0.653,1,1,0.885
1,0.939,0.106,0.923
0.205,1,0.093,0.997
0.939,0.939,0.093,1
0.087,0.174,0.06,0.038
0.27,0.074,0.074,0.572
0.385,0.218,0.055,0.061
0.033,0.066,0.046,0.839
0.686,0.439,0.061,0.715
0.182,0.11,0.408,0.465
0.46,0.291,0.089,0.046
0.036,0.036,0.022,0.731
0,0.041,0.055,0.597
0.945,0.049,0.218,0.762
0.046,0,0.813,0.742
0.067,0.033,0.049,0.046
0.291,0.049,0.842,0.562
0.212,0.218,0.312,0.664
0.038,0.036,0.429,0.1
0.896,0.036,0.247,0.476
0.077,0.234,0.038,0.813
0.046,0.067,0.722,0.695
0.484,0.385,0.087,0.804
0.534,0.077,0.175,0.946
0.193,0.033,0.074,0.749
0.163,0.193,0.081,0.76
0.44,0.184,0.399,0.049
0,0.399,0,0.827
0.051,0.021,0.074,0.83
0.377,0.429,0.01,0.726
0.421,0.046,0.138,0.067
0.488,0.046,0.088,0.055
0.683,0.061,0.055,0.942
0.865,0.199,0.055,0.977
0.038,0.067,0.376,0.944
0.408,0.167,0.128,0.033
0.218,0.421,0.399,0.021
0.074,0.09,0.066,0.817
0.408,0.077,0.066,0.804
0.802,0.108,0.895,0.811
0.041,0.09,0.046,0.408
0.914,0.722,0.077,0.408
0.703,0.038,0.199,0.385
0.804,0.441,0.033,0.801
0.279,0.066,0.074,0.421
0.837,0.421,0.033,0.429
0.851,0.899,0.055,0.408
0.212,0.087,0.726,0.421
0.046,0.385,0.58,0.376
0.218,0.421,0.399,0.351
0.4,0.385,0.874,0.324
0.459,0.01,0.087,0.838
0.074,0.055,0.097,0.186
0.194,0.09,0.036,0.038
0.061,0.09,0.061,0.247
0.455,0.745,0.421,0.174
0.328,0.036,0.421,0.06
0.18,0.399,0.193,0.026
0.557,0.108,0.184,0
0.184,0.089,0.033,0.165
0.408,0.421,0.128,0.375
0.361,0.055,0.247,0.074
0.891,0.061,0.038,0.391
0.207,0.074,0.036,0.2
0,0.061,0.218,0.118
0.161,0.399,0.408,0.219
0.63,0.074,0.85,0.167
0.923,0.055,0.355,0.982
0.138,0.184,0.046,0.72
0.199,0.066,0.118,0.764
0.066,0.157,0.83,0.392
0.108,0.041,0.067,0.174
0.32,0.53,0.249,0.796
0.469,0.146,0.008,0.733
0.008,0.478,0.008,0.636
0.317,0.147,0.432,0.289
0.258,0.108,0.414,0.527
0.138,0.344,0.523,0.527
0.029,0.045,0.482,0.53
0.269,0,0.672,0.558
0.303,0.298,0.008,0.848
0.103,0.025,0.637,0.768
0.269,0.428,0.429,0.857
0.096,0.462,0.008,0.871
0.722,0.407,0.431,0.802
0.037,0.5,0.008,0.844
0.252,0.008,0.53,0.555
0.281,0.006,0.562,0.429
0.008,0.006,0.4,0.726
0.006,0.527,0.008,0.59
0.325,0.142,0.416,0.511
0.008,0.006,0.375,0.533
0.037,0.029,0.008,0.5
0.297,0.008,0.61,0.444
0.18,0.389,0.5,0.488
0.261,0.403,0.566,0.608
0.245,0.102,0.309,0.587
0.317,0.078,0.679,0.523
0.245,0.478,0.495,0.544
0.008,0.478,0.488,0.487
0.037,0.509,0.499,0.478
0.003,0.04,0.747,0.65
0.269,0.008,0.558,0.65
0.245,0.007,0.136,0.693
0.4,0.43,0.466,0.772
0.045,0.008,0.503,0.707
0.315,0.705,0.008,0.935
0,0.02,0.311,0.008
0.008,0.382,0.43,0.008
0.003,0.008,0.072,0.008
0.003,0.008,0.796,0.008
0.261,0.497,0.344,0.008
